目标院校,目标院校可申请专业,主要对口科系（符合专业主要学术方向）,次要可行科系（申请材料与作品集中必须向该专业主要学术方向靠拢，或体现相关技能与认知）,专业匹配说明,爬藤赛道
达特茅斯学院Dartmouth College,Master of Computer Science with a Concentration in Digital Arts计算机科学之数字艺术,数字媒体，交互,游戏，动画,,AT
哈佛大学Harvard University,Master in Design Studies (MDes)设计研究,数字媒体，工业，交互，建筑,景观，游戏，动画，纯艺,主要方向与该项目强调的以研究为驱动、跨学科设计理念高度契合，这些领域整合了数字媒体、工业流程、交互技术与建筑理论，体现前沿设计思维。来自次要方向的申请者应展示其在景观、游戏或纯艺领域的作品如何补充核心方向，通过创新方法和多元创意技能转化，体现严谨的设计研究能力。,DT，AT，DH，AH
哈佛大学Harvard University,"Ed.M. Learning Design, Innovation, and Technology学习设计、创新与技术",数字媒体，交互,工业，游戏,数字媒体与交互设计直接反映了该项目对创新教育技术与以用户为中心学习环境的追求。具有工业设计或游戏设计背景的申请者应突出其在产品设计或互动娱乐方面的专业能力，并说明如何将这些技能应用于推动学习设计的技术创新。,DT，DH
哈佛大学Harvard University,Master in Design Engineering (MDE)设计工程,工业，交互，建筑,数字媒体，游戏,主要方向聚焦工业设计、交互系统及建筑创新，这正是设计工程项目核心挑战的关键要素。来自数字媒体或游戏设计方向的申请者应着重展示其在创造动态数字体验和交互叙事方面的优势，以及如何利用这些技能解决复杂的设计工程问题。,DT，DH，ADB
哈佛大学Harvard University,Master of Architecture I/IAP建筑学,建筑,"景观,城市,室内",专注于建筑领域与该项目严谨的设计理论与实践课程高度契合。申请者需提交能够展示概念发展、技术熟练度及创新设计解决方案的建筑作品集。,DH，DT
哈佛大学Harvard University,Master of Architecture II建筑学,建筑,,强调建筑专业直接反映了该项目对高水平专业实践与复杂设计方法的要求。申请者必须展示对建筑理论与实践的深刻理解，通过作品集呈现技术能力与创意愿景的有机结合。,DH，DT
哈佛大学Harvard University,Master of Architecture in Urban Design城市设计,"城市,建筑",景观,将建筑与景观两个方向整合，完美契合项目跨学科的城市设计理念。申请者应展示如何将建筑形式与环境背景有机融合，以创造出创新且可持续的城市空间设计。,DH，DT
哈佛大学Harvard University,Master in Landscape Architecture I/IAP景观建筑,景观,"建筑,城市",专注于景观设计与该项目对生态、空间与环境设计的重视高度匹配。申请者应展示其在创作具有场地特色、视觉吸引力及生态敏感性的景观设计方案方面的能力。,DH
哈佛大学Harvard University,Master in Landscape Architecture II 景观建筑,景观,,专注于景观设计与该项目对生态、空间与环境设计的重视高度匹配。申请者应展示其在创作具有场地特色、视觉吸引力及生态敏感性的景观设计方案方面的能力。,DH
哈佛大学Harvard University,Ed.M. with a concentration in Arts and Learning教育学-艺术与教育方向,纯艺,平面，动画，数字媒体,,AH
